source,target,weight
Node,React,5
Node,JSON file,5
Node,Express,5
Node,MongoDB,5
React,Express,5
JSON file,Express,5
Node,Docker,5
Node,jQuery,5
MongoDB,Express,5
Node,Nginx,5
MongoDB,JSON file,5
JSON file,React,4
MongoDB,React,4
React,Docker,4
Express,Docker,5
Node,PostgreSQL,5
JSON file,Docker,5
JSON file,Nginx,5
Node,MySQL,5
Express,Nginx,5
MongoDB,Docker,5
MongoDB,Nginx,5
Node,pm2,5
Node,Redis,5
MySQL,Express,5
JSON file,jQuery,4
React,Nginx,4
jQuery,Express,4
Docker,Nginx,4
MongoDB,jQuery,4
Express,pm2,4
Redis,Express,5
Node,Angular 2,4
Node,Angular,4
Node,Jenkins,4
PostgreSQL,Express,4
PostgreSQL,JSON file,4
MySQL,MongoDB,4
MySQL,JSON file,4
Node,Vue,3
React,jQuery,3
Node,GraphQL,3
PostgreSQL,React,3
Node,Travis,3
Angular,Express,3
jQuery,Docker,3
MongoDB,Angular,3
PostgreSQL,Docker,3
MySQL,React,3
PostgreSQL,MongoDB,3
jQuery,Nginx,3
JSON file,pm2,4
Nginx,pm2,4
MongoDB,pm2,4
MongoDB,Redis,4
Redis,React,4
Redis,JSON file,4
MySQL,Docker,4
Node,ElasticSearch,4
Redis,Nginx,4
Redis,Docker,4
MySQL,Nginx,4
Angular 2,Express,3
React,GraphQL,3
Vue,Express,3
JSON file,Angular 2,3
JSON file,Vue,3
Express,GraphQL,3
JSON file,Angular,3
JSON file,Jenkins,3
React,Jenkins,3
React,Travis,3
MongoDB,Vue,3
JSON file,Travis,3
MongoDB,Angular 2,3
Express,Travis,3
Node,SQLite,3
Express,Jenkins,3
Docker,Jenkins,3
JSON file,GraphQL,3
React,pm2,3
MySQL,jQuery,3
PostgreSQL,Nginx,3
Node,AWS Lambda,3
Docker,pm2,4
React,Angular,2
React,Angular 2,2
React,Vue,2
Angular,Angular 2,2
Vue,jQuery,2
Angular,jQuery,3
MongoDB,GraphQL,3
Jenkins,Nginx,3
Vue,Nginx,3
Angular 2,Docker,3
GraphQL,Docker,3
Node,Apache HTTP,3
Angular,Docker,3
PostgreSQL,jQuery,3
SQLite,JSON file,3
Angular 2,Nginx,3
React,AWS Lambda,3
MongoDB,Jenkins,3
Travis,Nginx,3
Docker,Travis,3
Express,AWS Lambda,3
SQLite,Express,3
Angular,Nginx,3
MongoDB,Travis,3
MySQL,Angular,3
ElasticSearch,JSON file,3
PostgreSQL,MySQL,3
ElasticSearch,React,3
Node,Hapi,3
Redis,jQuery,3
JSON file,AWS Lambda,3
PostgreSQL,pm2,3
MongoDB,ElasticSearch,3
Node,Koa,3
ElasticSearch,Express,3
MongoDB,AWS Lambda,3
MySQL,Angular 2,3
