source,target,weight
Node,React,5
Node,JSON file,5
Node,Express,5
Node,MongoDB,5
React,Express,5
JSON file,Express,5
Node,Docker,5
Node,jQuery,5
MongoDB,Express,5
Node,Nginx,5
MongoDB,JSON file,5
JSON file,React,5
MongoDB,React,5
React,Docker,5
Express,Docker,5
Node,PostgreSQL,5
JSON file,Docker,5
JSON file,Nginx,5
Node,MySQL,5
Express,Nginx,5
MongoDB,Docker,5
MongoDB,Nginx,5
Node,pm2,5
Node,Redis,5
MySQL,Express,5
JSON file,jQuery,5
React,Nginx,5
jQuery,Express,5
Docker,Nginx,5
MongoDB,jQuery,5
Express,pm2,5
Redis,Express,5
Node,Angular 2,4
Node,Angular,4
Node,Jenkins,4
PostgreSQL,Express,4
PostgreSQL,JSON file,4
MySQL,MongoDB,4
MySQL,JSON file,4
Node,Vue,4
React,jQuery,4
Node,GraphQL,4
PostgreSQL,React,4
Node,Travis,4
Angular,Express,4
jQuery,Docker,4
MongoDB,Angular,4
PostgreSQL,Docker,4
MySQL,React,4
PostgreSQL,MongoDB,4
jQuery,Nginx,4
JSON file,pm2,4
Nginx,pm2,4
MongoDB,pm2,4
MongoDB,Redis,4
Redis,React,4
Redis,JSON file,4
MySQL,Docker,4
Node,ElasticSearch,4
Redis,Nginx,4
Redis,Docker,4
MySQL,Nginx,4
Angular 2,Express,3
React,GraphQL,3
Vue,Express,3
JSON file,Angular 2,3
JSON file,Vue,3
Express,GraphQL,3
JSON file,Angular,3
JSON file,Jenkins,3
React,Jenkins,3
React,Travis,3
MongoDB,Vue,3
JSON file,Travis,3
MongoDB,Angular 2,3
Express,Travis,3
Node,SQLite,3
Express,Jenkins,3
Docker,Jenkins,3
JSON file,GraphQL,3
React,pm2,4
MySQL,jQuery,4
PostgreSQL,Nginx,4
Node,AWS Lambda,4
Docker,pm2,3
React,Angular,3
React,Angular 2,3
React,Vue,3
Angular,Angular 2,3
Vue,jQuery,3
Angular,jQuery,3
MongoDB,GraphQL,3
Jenkins,Nginx,3
Vue,Nginx,3
Angular 2,Docker,3
GraphQL,Docker,3
Node,Apache HTTP,3
Angular,Docker,3
PostgreSQL,jQuery,3
SQLite,JSON file,3
Angular 2,Nginx,3
React,AWS Lambda,3
MongoDB,Jenkins,3
Travis,Nginx,3
Docker,Travis,3
Express,AWS Lambda,3
SQLite,Express,3
Angular,Nginx,3
MongoDB,Travis,3
MySQL,Angular,3
ElasticSearch,JSON file,3
PostgreSQL,MySQL,3
ElasticSearch,React,3
Node,Hapi,3
Redis,jQuery,3
JSON file,AWS Lambda,3
PostgreSQL,pm2,3
MongoDB,ElasticSearch,3
Node,Koa,3
ElasticSearch,Express,3
MongoDB,AWS Lambda,3
MySQL,Angular 2,3
